data,model,train,macs,params,flops,mem,time,energy
fetalAbdominal,unet,train,14975762432.0,68328066.0,89835700224,753236992,874.0167846679688,173.43400000035763
fetalAbdominal,unet,eval,14975762432.0,68328066.0,7487881216,190254592,174.50294494628906,5.413000002503395
fetalAbdominal,new_mednca,train,444989440.0,7262.0,15187443712,415049728,1363.961669921875,159.67599999904633
fetalAbdominal,new_mednca,eval,444989440.0,7262.0,827064320,2672128,521.2802734375,37.533999998122454
fetalAbdominal,transunet_b16,train,2012636928.0,93230545.0,55664836608,2123323392,2150.073486328125,439.46299999952316
fetalAbdominal,transunet_b16,eval,2012636928.0,93230545.0,4645158912,457813504,566.91748046875,58.97899999842048
fetalAbdominal,segformer,train,104890368.0,3711265.0,5251137536,91485696,944.6921997070312,65.08199999853969
fetalAbdominal,segformer,eval,104890368.0,3711265.0,208986112,27410432,274.1742248535156,11.091000001877546
crc,vit4sgd,train,3167471712.0,85628937.0,76537350144,1731301888,1252.347900390625,359.3859999999404
crc,vit4sgd,eval,3167471712.0,85628937.0,6378112512,354008576,180.31085205078125,18.944000001996756
crc,densenet,train,531924480.0,6963081.0,12315746304,157665792,1465.9256591796875,140.7829999998212
crc,densenet,eval,531924480.0,6963081.0,1040762880,38015488,419.9792785644531,25.79399999976158
crc,maxmednca_nobn,train,895058064.0,7027.0,33322405248,625625600,1518.159912109375,244.6959999985993
crc,maxmednca_nobn,eval,895058064.0,7027.0,1790116128,9712640,461.3239440917969,30.348999999463558
